client_id,age,sexe,pays_residence,nationalite,secteur_activite,type_compte,revenu_annuel,solde_moyen,anciennete_compte,est_ppe,pays_risque,profil_risque,score_risque_reel,date_ouverture,nb_comptes_lies,litige_anterieur,kyc_valide
04EC2F588A9E,53,M,Maroc,France,Commerce,Courant,41775,31109,8,True,True,ppe,2,2018-04-04,2,True,True
23D39D9E6B48,67,F,Colombie,Turquie,Sans emploi,Professionnel,12669,15256,23,True,True,ppe,2,2003-04-08,1,False,True
A47E2843B8AD,31,M,Suède,Mexique,Arts,Courant,24747,14599,11,False,False,normal,0,2015-04-05,1,False,True
7BAC38B6AFA6,80,F,Pays-Bas,Turquie,Défense,Épargne,22919,27047,13,False,True,vigilance,1,2013-04-05,2,False,True
E4343D2AD084,73,F,Japon,Turquie,Technologie,Épargne,49103,11543,13,False,False,normal,0,2013-04-05,2,False,False
8C8082C1E1B7,50,M,Égypte,Vietnam,Agriculture,Professionnel,45356,43437,24,False,False,ppe,2,2002-04-08,0,False,True
80DF25B1B35C,32,F,Maroc,Syrie,Conseil,Épargne,42339,40233,2,False,False,suspect,2,2024-04-02,0,False,True
3616C2538B61,27,F,Inde,Brésil,Industrie,Joint,35197,41496,5,False,False,vigilance,1,2021-04-03,0,False,True
1E0BC919EC3B,27,F,Mexique,Afghanistan,Sans emploi,Joint,10555,16264,6,False,False,suspect,2,2020-04-03,0,False,False
444E5AD7B7A9,64,F,Iran,Russie,Technologie,Professionnel,53596,42758,22,False,True,suspect,2,2004-04-07,2,False,True
D88E67617487,33,M,Brésil,Mexique,Agriculture,Professionnel,31253,504,25,True,False,fraudeur,3,2001-04-08,8,True,True
03EE35CD5351,76,F,Colombie,France,Santé,Courant,39909,6652,20,False,False,normal,0,2006-04-07,2,False,True
7135A4C80D36,23,M,Royaume-Uni,Suède,Indépendant,Joint,44886,4254,16,False,False,normal,0,2010-04-06,0,False,True
3CDCD437EE62,49,F,Vietnam,Yémen,Indépendant,Professionnel,46889,54161,23,True,False,fraudeur,3,2003-04-08,3,True,True
4700AF2B34F9,32,M,Égypte,Allemagne,Retraité,Épargne,16760,20780,8,True,True,normal,0,2018-04-04,0,False,True
D0C8429CAD91,31,F,Vietnam,Japon,Agriculture,Joint,23361,7510,5,False,False,normal,0,2021-04-03,4,False,True
5D3A59B31E88,73,M,Inde,Allemagne,Indépendant,Joint,50172,56104,2,False,False,vigilance,1,2024-04-02,3,True,True
D130916F3AF6,45,M,Suède,Royaume-Uni,Finance,Joint,59817,46397,9,False,False,vigilance,1,2017-04-04,0,True,True
